"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-2015","8,884.50","8,791.40","8,917.10","8,447.80","5.47B","1.02%"
"01-01-2015","8,794.95","8,280.55","8,969.65","8,070.00","5.17B","6.09%"
"01-12-2014","8,290.45","8,559.10","8,603.10","7,907.95","4.97B","-2.93%"
"01-11-2014","8,540.60","8,282.30","8,571.85","8,228.65","4.48B","3.44%"
"01-10-2014","8,256.85","7,901.80","8,263.25","7,656.90","4.06B","4.44%"
"01-09-2014","7,905.70","7,913.60","8,127.05","7,771.15","4.90B","0.32%"
"01-08-2014","7,880.40","7,591.45","7,910.80","7,476.45","4.12B","3.01%"
"01-07-2014","7,650.35","7,589.80","7,771.35","7,350.30","5.77B","1.05%"
"01-06-2014","7,571.00","7,214.55","7,664.55","7,194.85","6.19B","5.43%"
"01-05-2014","7,181.30","6,615.95","7,473.05","6,545.50","7.13B","8.83%"
"01-04-2014","6,598.55","6,622.60","6,755.15","6,543.70","4.63B","0.02%"
"01-03-2014","6,597.05","6,134.95","6,616.60","6,089.20","5.71B","7.33%"
"01-02-2014","6,146.30","5,948.85","6,151.90","5,826.30","4.05B","2.85%"
"01-01-2014","5,976.00","6,244.55","6,279.55","5,902.90","5.03B","-4.01%"
