year,month,rainfall_mm,source
2019,Jan,19.9,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:12]{index=12}
2019,Feb,9.4,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:13]{index=13}
2019,Mar,20.1,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:14]{index=14}
2019,Apr,30.5,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:15]{index=15}
2019,May,36.1,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:16]{index=16}
2019,Jun,114.6,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:17]{index=17}
2019,Jul,291.8,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:18]{index=18}
2019,Aug,236.4,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:19]{index=19}
2019,Sep,152.4,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:20]{index=20}
2019,Oct,79.7,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:21]{index=21}
2019,Nov,15.6,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:22]{index=22}
2019,Dec,17.7,IMD Rainfall Statistics of India 2019 (Table 4) :contentReference[oaicite:23]{index=23}

2020,Jan,28.3,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:24]{index=24}
2020,Feb,12.1,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:25]{index=25}
2020,Mar,44.7,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:26]{index=26}
2020,Apr,42.7,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:27]{index=27}
2020,May,71.8,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:28]{index=28}
2020,Jun,195.6,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:29]{index=29}
2020,Jul,257.1,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:30]{index=30}
2020,Aug,327.8,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:31]{index=31}
2020,Sep,178.0,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:32]{index=32}
2020,Oct,78.3,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:33]{index=33}
2020,Nov,29.2,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:34]{index=34}
2020,Dec,17.0,IMD Rainfall Statistics of India 2020 (Table 4) :contentReference[oaicite:35]{index=35}
