"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2012","7,100.55","6,112.30","7,116.35","6,057.65","4.81B","16.18%"
"12/01/2011","6,111.85","6,642.90","6,877.90","6,030.45","3.54B","-7.97%"
"11/01/2011","6,641.05","7,266.50","7,353.25","6,398.15","3.45B","-8.62%"
"10/01/2011","7,267.15","7,093.60","7,290.25","6,816.90","2.14B","2.44%"
"09/01/2011","7,094.00","7,296.00","7,552.00","7,005.30","2.70B","-2.75%"
"08/01/2011","7,294.75","8,021.50","8,112.50","7,020.15","2.98B","-9.01%"
"07/01/2011","8,017.35","7,972.60","8,247.95","7,968.15","2.48B","0.58%"
"06/01/2011","7,971.50","8,065.50","8,111.10","7,558.05","2.55B","-1.16%"
"05/01/2011","8,064.80","8,201.30","8,237.35","7,734.05","2.38B","-1.66%"
"04/01/2011","8,200.95","8,040.50","8,451.05","8,039.05","2.49B","2.00%"
"03/01/2011","8,040.15","7,426.05","8,084.85","7,426.05","2.11B","9.09%"
"02/01/2011","7,370.10","7,952.00","7,971.45","7,219.40","2.50B","-6.97%"
"01/01/2011","7,922.50","8,920.55","8,978.45","7,723.55","2.05B","-10.55%"
"12/01/2010","8,857.20","8,925.80","9,258.45","8,290.40","2.06B","-0.56%"
"11/01/2010","8,907.50","9,462.65","9,853.45","8,351.05","2.40B","-4.84%"
"10/01/2010","9,360.70","9,209.90","9,640.45","9,205.20","2.34B","2.14%"
"09/01/2010","9,164.25","8,732.90","9,317.80","8,716.40","2.08B","5.58%"
"08/01/2010","8,679.85","8,460.05","9,036.30","8,460.05","2.24B","3.14%"
"07/01/2010","8,415.30","8,096.10","8,493.60","8,076.80","1.91B","3.50%"
"06/01/2010","8,130.85","7,746.55","8,184.25","7,645.25","2.09B","4.83%"
"05/01/2010","7,755.95","8,058.00","8,099.40","7,355.60","2.12B","-3.79%"
"04/01/2010","8,061.10","7,750.45","8,071.95","7,746.40","1.85B","4.62%"
"03/01/2010","7,704.90","7,242.50","7,725.30","7,242.50","1.88B","7.50%"
"02/01/2010","7,167.25","7,171.10","7,446.20","7,005.95","1.59B","-0.48%"
"01/01/2010","7,201.85","7,460.30","7,885.35","6,955.60","2.40B","-3.11%"
