date_q,excess_ret,midcap_qret,nifty_qret,rain_anom,cpi_yoy,gdp_yoy,repo_chg_bps,ret_prev_q,rain_anom_lag,cpi_yoy_lag,gdp_yoy_lag,repo_chg_lag,excess_next_q,rain_repo_int
2016-12-31,-0.019484458404305,-0.0688797191999013,-0.0493952607955963,-24.558333333333326,3.748832287455439,8.575493631707353,-25.0,0.1155615226776776,-24.558333333333326,5.1673343334687205,9.66980880045285,0.0,0.0775958759826858,-0.0
2017-03-31,0.0775958759826858,0.1982865842824244,0.1206907082997386,-24.558333333333326,3.56891502972263,6.289327747747575,0.0,-0.0688797191999013,-24.558333333333326,3.748832287455439,8.575493631707353,-25.0,-0.0068714198250172,613.9583333333331
2017-06-30,-0.0068714198250172,0.0309702479771356,0.0378416678021529,-24.558333333333326,2.2075945422937484,6.112753262232262,0.0,0.1982865842824244,-24.558333333333326,3.56891502972263,6.289327747747575,0.0,-0.006785711719909,-0.0
2017-09-30,-0.006785711719909,0.021331378051016,0.028117089770925,2.733333333333334,2.976498830584166,5.31793955247053,-25.0,0.0309702479771356,-24.558333333333326,2.2075945422937484,6.112753262232262,0.0,0.0912713907522857,-0.0
2017-12-31,0.0912713907522857,0.1670840708086778,0.075812680056392,2.733333333333334,4.556545747545604,6.668678039312748,0.0,0.021331378051016,2.733333333333334,2.976498830584166,5.31793955247053,-25.0,-0.0728532873224648,-68.33333333333334
2018-03-31,-0.0728532873224648,-0.112451794544207,-0.0395985072217421,2.733333333333334,4.59478342971585,8.932909226179575,0.0,0.1670840708086778,2.733333333333334,4.556545747545604,6.668678039312748,0.0,-0.0900773363333808,0.0
2018-06-30,-0.0900773363333808,-0.0306925414511916,0.0593847948821892,2.733333333333334,4.790508503950093,7.499660843627298,25.0,-0.112451794544207,2.733333333333334,4.59478342971585,8.932909226179575,0.0,-0.0766578328913732,0.0
2018-09-30,-0.0766578328913732,-0.056483859790004,0.0201739731013692,12.875,3.854621114070023,6.457181008972346,25.0,-0.0306925414511916,2.733333333333334,4.790508503950093,7.499660843627298,25.0,0.0482509038346342,68.33333333333334
2018-12-31,0.0482509038346342,0.0420388997542897,-0.0062120040803445,12.875,2.6063839211870685,6.233477926090059,0.0,-0.056483859790004,12.875,3.854621114070023,6.457181008972346,25.0,-0.0486634616231882,321.875
2019-03-31,-0.0486634616231882,0.0214259740986266,0.0700894357218149,12.875,2.4651225915393336,5.720942884807356,-25.0,0.0420388997542897,12.875,2.6063839211870685,6.233477926090059,0.0,-0.0472929807447012,0.0
